Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
8/10/24,"August 2024: A school sheltering IDPs was struck by three Israeli missiles, killing a university professor and over 125 other people (including at least 11 children). The Israeli military acknowledged the attack stating that the attack hit a Hamas command centre. _x000D_
",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Missile,School: No Further Details,1,0,0,0,0,1,TRUE,1,0,0,0,126,0,0,0,0,0,77123
8/10/24,"August 2024: A kindergarten sheltering IDPs was hit by a suspected RSF drone strike, killing a boy. ",Sudan,SDN,Khartoum State,15.6445536,32.4777311,"(3) District, Communicipality or Commune ",Education Building ,Vigilante,Rapid Support Forces,Aerial Bomb: Drone,Pre-School,1,0,0,0,0,1,TRUE,0,0,0,0,1,0,0,0,0,0,75769
8/9/24,"09 August 2024: A university building was hit in a Russian forces airstrike using a FAB-500 bomb. After the shelling, a fire broke out in the university building. A 67-year-old security guard was injured. ",Ukraine,UKR,Kharkiv Oblast,49.9923181,36.2310146,"(3) District, Communicipality or Commune ",Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,University,0,1,0,0,0,1,TRUE,0,0,0,0,1,0,0,0,0,0,73824
8/9/24,"09 August 2024: A sports school and gas and electricity lines were damaged during an attack on the city by Russian forces using artillery, anti-aircraft fire and kamikaze planes. A child and two women injured._x000D_
",Ukraine,UKR,Dnipropetrovsk Oblast,47.5692061,34.3917272,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,68223
8/8/24,08 August 2024: An unspecified number of IDPs were killed and injured by Israeli drones whilst filling their water tanks at a school. ,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,2,0,0,0,0,0,73624
8/8/24,August 2024: A teacher was beaten by a Taliban mayor for posting a critical article on social media about the mayor's usurpation of people's shops and lands. ,Afghanistan,AFG,Badakhshan Province,37.11734749,70.57582513,(2) 25 km Precision ,Unspecified Location,Other,Islamic Emirate of Afghanistan,Fist and Foot,Not Applicable,0,0,0,0,0,0,FALSE,0,1,0,0,0,0,0,0,0,0,76033
8/8/24,"08 August 2024: A school sheltering IDPs was struck by Israeli airstrikes, killing at least 16 people and injuring an unspecified number of children. According to the Israeli military, Palestinian armed groups reportedly operated command and control centres at both schools. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,17,0,0,0,0,0,73690
8/8/24,"08 August 2024: A school sheltering IDPs was struck by Israeli airstrikes, killing at least 16 people and injuring an unspecified number of children. According to the Israeli military, Palestinian armed groups reportedly operated command and control centres at both schools. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,17,0,0,0,0,0,73657
8/6/24,06 August 2024: A university was damaged as a result of a Russian Iskander missile attack on the city centre.,Ukraine,UKR,Kharkiv Oblast,50.04325023,36.20578766,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Missile,University,0,1,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,64286
8/5/24,August 2024: A school was damaged by bombs dropped by Myanmar military fighter jets.,Myanmar,MMR,Mandalay,22.5545098,96.063609,(2) 25 km Precision ,Education Building ,Other,Myanmar Armed Forces,Aerial Bomb: Plane,Primary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,66958
8/5/24,"05 August 2024: In Al-Bureij Camp, the vicinity of a secondary school in the eastern part of the camp was hit, killing seven Palestinians and injuring an unspecified number.",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Unspecified Explosive,University,0,0,0,0,0,0,TRUE,0,0,0,0,8,0,0,0,0,0,73591
8/4/24,"August 2024: A school sheltering IDPs was hit by missiles fired by Israeli forces, killing at least 16 Palestinians. ",OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Missile,School: No Further Details,1,0,0,0,0,1,TRUE,0,0,0,0,16,0,0,0,0,0,77089
