Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID
3/19/24,Ukraine,UKR,Sumy Oblast,50.4032523,35.39449453,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,78244
3/19/24,Cameroon,CMR,Northwest,6.4554104,10.1108386,(2) 25 km Precision ,Education Building ,NSA,Unidentified Armed Actor,Firearms,Secondary School,1,0,0,0,0,0,TRUE,0,0,3,0,3,0,0,0,0,0,46668
3/19/24,Syria,SYR,Idlib Governorate,36.053997,36.8105186,(2) 25 km Precision ,Education Building ,Other,Syrian Armed Forces,Rocket,Primary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46804
3/18/24,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Firearms,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,46827
3/18/24,OPT,PSE,Gaza Strip,0,0,censored,Education Building ,Host Government: Military,Israeli Defence Forces,Firearms,School: No Further Details,1,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,46834
3/17/24,Ukraine,UKR,Sumy Oblast,50.4253238,35.4838569,(2) 25 km Precision ,Education Building ,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,45546
3/16/24,Nigeria,NGA,Plateau State,9.139554235,8.899777868,(2) 25 km Precision ,Home,No Information,No Information,Firearms,Not Applicable,0,0,0,0,0,0,FALSE,0,0,1,0,0,0,0,0,0,0,46674
3/16/24,Cameroon,CMR,Far-North,12.6904187,14.3207955,(2) 25 km Precision ,Education Building ,NSA,Boko Haram,Firearms,Primary School,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46616
3/15/24,Ukraine,UKR,Sumy Oblast,50.4253238,35.4838569,(2) 25 km Precision ,Public Building,Foreign Forces - Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,FALSE,0,0,0,0,0,0,0,0,0,0,46264
3/14/24,Sudan,SDN,South Kordofan,11.4496,30.1368,(2) 25 km Precision ,Education Building ,Other,Sudanese Armed Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,TRUE,2,5,0,0,58,11,40,0,0,0,46675
